X,Y
0,-0.006208205
0.050000001,-0.037176754
0.100000001,-0.020630455
0.150000006,-0.006454039
0.200000003,0.003635883
0.25,0.012123632
0.300000012,0.018961525
0.349999994,0.024488067
0.400000006,0.028483963
0.450000018,0.033161785
0.5,0.036404278
0.550000012,0.039870884
0.600000024,0.042269375
0.650000036,0.052468967
0.699999988,0.055430125
0.75,0.057690382
0.800000012,0.060065031
0.850000024,0.063293219
0.900000036,0.067837477
0.949999988,0.135448501
1,0.178983882
1.050000072,0.047886562
1.100000024,0.059387922
1.149999976,0.00180006
1.200000048,0.001647472
1.25,0.001618862
1.300000072,0.001604557
1.350000024,0.001599789
1.399999976,0.001504664
1.450000048,0.00150228
1.5,0.00148416
1.550000072,0.001488452
1.600000024,0.001467471
1.649999976,0.001472239
1.700000048,0.001452212
1.75,0.001457458
1.800000072,0.001442199
1.850000024,0.00143743
1.899999976,0.001420741
1.950000048,0.001421695
2,0.001414065
2.049999952,0.001373057
2.100000143,0.00136209
2.150000095,0.001270537
2.200000048,0.001259093
2.25,0.001268153
2.299999952,0.0012672
2.350000143,0.001283412
2.400000095,0.000222683
2.450000048,-0.000882392
2.5,-0.000777488
2.549999952,-0.000759368
2.600000143,-0.000755076
2.650000095,-0.000750308
2.700000048,0.001414614
2.75,0.018967466
2.799999952,0.174987987
2.850000143,0.177143291
2.900000095,0.179250911
2.950000048,0.178945735
3,0.180094913
3.049999952,0.178240016
3.100000143,0.179522708
3.150000095,0.180152133
3.200000048,0.179203227
3.25,0.179794505
3.299999952,0.17998524
3.350000143,0.179451182
3.400000095,0.179608539
3.450000048,0.180400088
3.5,0.186241388
3.549999952,0.192507073
3.600000143,0.192449853
3.650000095,0.192850396
3.700000048,0.193880364
3.75,0.194400117
3.799999952,0.197480485
3.850000143,0.21706906
3.900000095,0.259455204
3.950000048,0.119901158
4,0.001575947
4.050000191,0.001504421
4.099999905,0.001533031
4.150000095,0.0015378
4.200000286,0.001533031
4.25,0.001521831
4.300000191,0.001508002
4.349999905,0.001514678
4.400000095,0.001522307
4.450000286,0.001527076
4.5,0.001521354
4.550000191,0.001520877
4.599999905,0.00153852
4.650000095,0.001681571
4.700000286,0.001715426
4.75,0.00171638
4.800000191,0.000505209
4.849999905,-0.000771766
4.900000095,-0.000639205
4.950000286,-0.000615835
5,0.013020325
5.050000191,0.125554085
5.099999905,0.134842917
5.150000095,0.142262504
5.200000286,0.145195112
5.25,0.147989377
5.300000191,0.147235975
5.349999905,0.149567708
5.400000095,0.148294553
5.450000286,0.151923284
5.5,0.151799306
5.550000191,0.152857885
5.599999905,0.151546583
5.650000095,0.150459394
5.700000286,0.150492772
5.75,0.150216207
5.800000191,0.150659665
5.849999905,0.175784305
5.900000095,0.176175311
5.950000286,0.175822452
6,0.178640559
6.050000191,0.180466846
6.099999905,0.186627582
6.150000095,0.204203889
6.200000286,0.35500899
6.25,0.362361819
6.300000191,0.239151478
6.349999905,0.001175404
6.400000095,0.001275539
6.450000286,0.001333003
6.5,0.001338248
6.550000191,0.001332049
6.599999905,0.00134397
6.650000095,0.001331096
6.700000286,0.001346831
6.75,0.001330619
6.800000191,0.00135303
6.849999905,0.001337771
6.900000095,0.001343017
6.950000286,0.001341586
7,0.001351123
7.050000191,0.001357322
7.099999905,0.001358275
7.150000095,0.001426463
7.200000286,0.001539831
7.25,0.001666312
7.300000191,0.001708274
7.349999905,0.001713996
7.400000095,0.001706367
7.450000286,0.001692061
7.5,0.00055063
7.550000191,-0.000622988
7.599999905,-0.00057292
7.650000095,-0.000558615
7.700000286,-0.000549078
7.75,-0.000571086
7.800000191,-0.002166351
7.849999905,0.01427298
7.900000095,-0.022862053
7.950000286,-0.002801418
8,0.00958209
8.050000191,0.01772647
8.100000381,0.022318458
8.150000572,0.028455352
8.199999809,0.034577992
8.25,0.03815427
8.300000191,0.040290501
8.350000381,0.042526867
8.400000572,0.044272136
8.449999809,0.045798015
8.5,0.047300052
8.550000191,0.050008487
8.600000381,0.070827298
8.650000572,0.072238736
8.699999809,0.074298672
8.75,0.07752686
8.800000191,0.080392651
8.850000381,0.095365427
8.900000572,0.201252267
8.949999809,0.303515166
9,0.3230322
9.050000191,0.157254346
9.100000381,0.001251698
9.150000572,0.001218319
9.199999809,0.001237392
9.25,0.001251698
9.300000191,0.001270771
9.350000381,0.001282935
9.400000572,0.001288657
9.449999809,0.001287227
9.5,0.001301532
9.550000191,0.001288657
9.600000381,0.001312976
9.650000572,0.001306777
9.699999809,0.001305346
9.75,0.001322989
9.800000191,0.001306777
9.850000381,0.001329665
9.900000572,0.001316314
9.949999809,0.001299386
10,0.001271014
10.05000019,0.001280551
10.10000038,0.001281981
10.15000057,0.001448398
10.19999981,0.001678233
10.25,0.001674895
10.30000019,0.00167871
10.35000038,0.00166965
10.40000057,0.001665835
10.44999981,0.000543358
10.5,-0.000596762
10.55000019,-0.00056529
10.60000038,-0.000553846
10.65000057,-0.000550032
10.69999981,-0.000562429
10.75,0.001781447
10.80000019,0.018826799
10.85000038,0.168598324
10.90000057,0.169127658
10.94999981,0.171473697
11,0.173495486
11.05000019,0.173404887
11.10000038,0.174930766
11.15000057,0.175145343
11.19999981,0.175684169
11.25,0.175307468
11.30000019,0.175474361
11.35000038,0.176566318
11.40000057,0.177486613
11.44999981,0.182872534
11.5,0.187586114
11.55000019,0.18985109
11.60000038,0.189340875
11.65000057,0.189436242
11.69999981,0.190308854
11.75,0.193918511
11.80000019,0.203960702
11.85000038,0.348323733
11.90000057,0.360468775
11.94999981,0.177784637
12,0.001199245
12.05000019,0.001146793
12.10000038,0.001266003
12.15000057,0.001261234
12.19999981,0.001275539
12.25,0.001290565
12.30000019,0.00129724
12.35000038,0.001294379
12.40000057,0.001301055
12.44999981,0.001316791
12.5,0.001314883
12.55000019,0.001326804
12.60000038,0.001317267
12.65000057,0.001336818
12.69999981,0.001330142
12.75,0.001346354
12.80000019,0.001352553
12.85000038,0.001293426
12.90000057,0.001507406
12.94999981,0.001688247
13,0.001695399
13.05000019,0.001682525
13.10000038,0.001681571
13.15000057,0.001657252
13.19999981,0.000541928
13.25,-0.000589609
13.30000019,-0.000581503
13.35000038,-0.00056386
13.40000057,-0.000555277
13.44999981,-0.000568628
13.5,0.001425772
13.55000019,0.01812727
13.60000038,0.057161093
13.65000057,0.073259167
13.69999981,0.083816387
13.75,0.089423992
13.80000019,0.097606562
13.85000038,0.100191019
13.90000057,0.104334734
13.94999981,0.106289819
14,0.110042527
14.05000019,0.111091569
14.10000038,0.11287494
14.15000057,0.114882424
14.19999981,0.138600394
14.25,0.140760466
14.30000019,0.141509101
14.35000038,0.143397376
14.40000057,0.146220312
14.44999981,0.161107212
14.5,0.204356477
14.55000019,0.118110635
14.60000038,0.037415173
14.65000057,0.069563679
14.69999981,0.00015974
14.75,0.000150204
14.80000019,0.000283718
14.85000038,0.000298023
14.90000057,0.000355244
14.94999981,0.00051856
15,0.000571012
15.05000019,0.000613451
15.10000038,0.000663047
