Title,2024-12-01 12:30:00
0,,1,,2,,4,,5,,7,,19
s,µA,s,µA,V,µA,V,µA,V,µA,V,µA,V,µA
0,-0.009219442,0,-0.18054314,-0.399962425,0.014054589,-0.399962425,0.014990625,0.600041389,-0.004732389,0.600041389,-0.004472036,0.600041389,-0.005594511
0.150000006,-0.003640427,0.050000001,-0.332762241,-0.389962196,0.013867192,-0.389962196,0.014892873,0.590041161,-0.00470664,0.590041161,-0.004447241,0.590041161,-0.005561132
0.300000012,0.002313862,0.100000001,-0.338579655,-0.379961967,0.013669781,-0.379961967,0.014737901,0.580040932,-0.004663725,0.580040932,-0.004414816,0.580040932,-0.005511065
0.450000018,-0.000833755,0.150000006,-0.341583729,-0.369962692,0.01348763,-0.369962692,0.01456767,0.570041656,-0.004647036,0.570041656,-0.00437428,0.570041656,-0.005477209
0.600000024,-0.000777965,0.200000003,-0.36957407,-0.359962463,0.013327412,-0.359962463,0.014412698,0.560041428,-0.004631777,0.560041428,-0.004377623,0.560041428,-0.005468149
0.75,-0.000735526,0.25,-0.374294758,-0.349962234,0.013148598,-0.349962234,0.014274888,0.550041199,-0.004657526,0.550041199,-0.00437428,0.550041199,-0.00548913
0.900000036,-0.000698333,0.300000012,-0.375772953,-0.340040207,0.012956428,-0.340040207,0.014116101,0.54004097,-0.004663248,0.54004097,-0.004411478,0.54004097,-0.005470057
1.050000072,-0.000665431,0.349999994,-0.379492283,-0.330039978,0.012764263,-0.330039978,0.013961606,0.530040741,-0.004674692,0.530040741,-0.004445333,0.530040741,-0.005498667
1.200000048,-0.00063396,0.400000006,-0.379349232,-0.320040703,0.012606907,-0.320040703,0.013809495,0.520041466,-0.004697104,0.520041466,-0.00444438,0.520041466,-0.005514402
1.350000024,-0.000603437,0.450000018,-0.386406422,-0.310040474,0.012412357,-0.310040474,0.013630204,0.510041237,-0.004691858,0.510041237,-0.004452963,0.510041237,-0.005538721
1.5,-0.000575304,0.5,-0.937441349,-0.300040245,0.012234974,-0.300040245,0.01346951,0.500041008,-0.004675169,0.500041008,-0.004459996,0.500041008,-0.005540628
1.650000095,-0.000540972,0.550000012,-1.442557335,-0.290040016,0.012023735,-0.290040016,0.013276868,0.490040779,-0.004711409,0.490040779,-0.004470606,0.490040779,-0.005568762
1.800000072,-0.000509501,0.600000024,-0.587847114,-0.280039787,0.011852546,-0.280039787,0.013095665,0.480118752,-0.00474288,0.480118752,-0.004472036,0.480118752,-0.005587835
1.950000048,-0.000482321,0.650000036,0.011920929,-0.270040512,0.011667533,-0.270040512,0.012917805,0.470119476,-0.004749079,0.470119476,-0.004488726,0.470119476,-0.005612154
2.100000143,-0.000461817,0.699999988,0.016689301,-0.260040283,0.01149301,-0.260040283,0.012718487,0.460119247,-0.004769583,0.460119247,-0.00452878,0.460119247,-0.005632663
2.25,-0.000437975,0.75,0.016689301,-0.250040054,0.011317058,-0.250040054,0.01253109,0.450119019,-0.004773397,0.450119019,-0.00453784,0.450119019,-0.00566175
2.400000095,-0.000477552,0.800000012,0.016689301,-0.240039825,0.011137767,-0.240039825,0.012342739,0.44011879,-0.004836817,0.44011879,-0.004547853,0.44011879,-0.005692267
2.550000191,-0.000487566,0.850000024,0.016689301,-0.230039597,0.010954184,-0.230039597,0.012153435,0.430118561,-0.00483634,0.430118561,-0.004589815,0.430118561,-0.00572803
2.700000048,-0.000448942,0.900000036,-0.000238419,-0.220040321,0.01076488,-0.220040321,0.011952209,0.420119286,-0.004851599,0.420119286,-0.004612227,0.420119286,-0.005709433
2.850000143,-3.39E-05,0.949999988,-0.000238419,-0.210040092,0.010586538,-0.210040092,0.011775775,0.410119057,-0.004862566,0.410119057,-0.004622717,0.410119057,-0.005754256
3,0.000401258,1,-0.000238419,-0.200118065,0.010419169,-0.200118065,0.011597915,0.400118828,-0.004871149,0.400118828,-0.00464036,0.400118828,-0.005771422
3.150000095,0.000399828,1.050000072,0.000238419,-0.190117836,0.010249891,-0.190117836,0.011421008,0.390118599,-0.00488307,0.390118599,-0.004655142,0.390118599,-0.005809092
3.300000191,-0.00489964,1.100000024,0.000238419,-0.180117607,0.010082521,-0.180117607,0.011237903,0.38011837,-0.00490119,0.38011837,-0.004671354,0.38011837,-0.005830073
3.450000048,-0.009786406,1.149999976,-0.001072884,-0.170117378,0.009921351,-0.170117378,0.01103477,0.370119095,-0.004951735,0.370119095,-0.004695196,0.370119095,-0.005862021
3.600000143,-0.010613241,1.200000048,-0.00140667,-0.160118103,0.009756365,-0.160118103,0.010862155,0.360118866,-0.004978437,0.360118866,-0.004730005,0.360118866,-0.005889201
3.750000238,-0.010843081,1.25,-0.001358986,-0.150117874,0.009599009,-0.150117874,0.010699553,0.350118637,-0.005034227,0.350118637,-0.004744787,0.350118637,-0.00590446
3.900000095,-0.011023326,1.300000072,-0.001263618,-0.140117645,0.009463587,-0.140117645,0.01052598,0.340196609,-0.005020399,0.340196609,-0.004756708,0.340196609,-0.005944037
4.050000191,-0.011091037,1.350000024,-0.001215935,-0.130117416,0.009311948,-0.130117416,0.01035718,0.330196381,-0.005083818,0.330196381,-0.004796762,0.330196381,-0.00600698
4.200000286,-0.01113729,1.399999976,-0.001327991,-0.120117188,0.00914887,-0.120117188,0.010185041,0.320196152,-0.005085726,0.320196152,-0.004808207,0.320196152,-0.006029391
4.350000381,-0.011143966,1.450000048,-0.001261234,-0.110117912,0.009012971,-0.110117912,0.010036268,0.310196877,-0.005132456,0.310196877,-0.004846354,0.310196877,-0.006066108
